company_id,year,sentiment,rule_id,statement,confidence_score,trigger_metric,trigger_value
ABB,2024,PRO,PRO_01,Strong return on equity indicates efficient use of shareholder capital.,92.0,return_on_equity,32.46823465801568
ABB,2024,PRO,PRO_02,ROE above 25% indicates particularly strong profitability on equity.,95.5,return_on_equity,32.46823465801568
ABB,2024,PRO,PRO_03,Strong ROCE indicates efficient deployment of capital.,92.0,return_on_capital,38.41882601797991
ABB,2024,PRO,PRO_04,Positive return on assets indicates productive use of the asset base.,88.0,return_on_assets,23.127286732139417
ABB,2024,PRO,PRO_05,Double-digit three-year revenue CAGR indicates strong business growth.,84.7,revenue_cagr_3yr,10.713721789385655
ABB,2024,PRO,PRO_07,Strong three-year profit CAGR indicates healthy earnings growth.,94.0,pat_cagr_3yr,20.232437941096727
ABB,2024,PRO,PRO_08,Double-digit ten-year profit CAGR indicates sustained earnings expansion.,98.0,pat_cagr_10yr,19.75338045077737
ABB,2024,PRO,PRO_09,Low debt-to-equity indicates a relatively conservative capital structure.,82.0,debt_to_equity,0.022438496891051634
ABB,2024,PRO,PRO_10,Strong interest coverage provides a comfortable buffer for debt servicing.,84.0,interest_coverage,141.75
ABB,2024,PRO,PRO_11,Positive free cash flow indicates cash generation after capital expenditure.,80.0,free_cash_flow,797.0
ABB,2024,CON,CON_FALLBACK,The available financial metrics should be monitored for potential weaknesses.,60.0,financial_metrics,
ADANIENSOL,2024,PRO,PRO_05,Double-digit three-year revenue CAGR indicates strong business growth.,92.7,revenue_cagr_3yr,18.715011322879892
ADANIENSOL,2024,PRO,PRO_11,Positive free cash flow indicates cash generation after capital expenditure.,80.0,free_cash_flow,1095.0
ADANIENSOL,2024,CON,CON_01,Low ROE indicates weaker returns generated on shareholder capital.,82.0,return_on_equity,9.461276797721698
ADANIENSOL,2024,CON,CON_03,Low ROA suggests limited profitability relative to the asset base.,78.0,return_on_assets,2.043117291332126
ADANIENSOL,2024,CON,CON_06,Low three-year profit CAGR indicates subdued earnings growth.,82.0,pat_cagr_3yr,-2.4904490462308027
ADANIENSOL,2024,CON,CON_07,Negative three-year profit CAGR indicates earnings contraction.,92.0,pat_cagr_3yr,-2.4904490462308027
ADANIENSOL,2024,CON,CON_08,High debt-to-equity indicates elevated financial leverage.,86.0,debt_to_equity,2.93252116130053
ADANIENT,2024,PRO,PRO_05,Double-digit three-year revenue CAGR indicates strong business growth.,94.0,revenue_cagr_3yr,34.60338228109774
ADANIENT,2024,PRO,PRO_07,Strong three-year profit CAGR indicates healthy earnings growth.,94.0,pat_cagr_3yr,47.182006037517255
ADANIENT,2024,CON,CON_01,Low ROE indicates weaker returns generated on shareholder capital.,82.0,return_on_equity,8.534650424813185
ADANIENT,2024,CON,CON_03,Low ROA suggests limited profitability relative to the asset base.,78.0,return_on_assets,2.076768834144944
ADANIENT,2024,CON,CON_08,High debt-to-equity indicates elevated financial leverage.,86.0,debt_to_equity,1.671358378544375
ADANIENT,2024,CON,CON_10,Negative free cash flow indicates cash outflow after capital expenditure.,86.0,free_cash_flow,-8455.0
ADANIGREEN,2024,PRO,PRO_05,Double-digit three-year revenue CAGR indicates strong business growth.,94.0,revenue_cagr_3yr,43.44099813858789
ADANIGREEN,2024,PRO,PRO_07,Strong three-year profit CAGR indicates healthy earnings growth.,94.0,pat_cagr_3yr,90.58982840512462
ADANIGREEN,2024,CON,CON_02,Low ROCE indicates relatively weak efficiency in capital deployment.,80.0,return_on_capital,9.797568682054303
ADANIGREEN,2024,CON,CON_03,Low ROA suggests limited profitability relative to the asset base.,78.0,return_on_assets,1.430420271098699
ADANIGREEN,2024,CON,CON_08,High debt-to-equity indicates elevated financial leverage.,86.0,debt_to_equity,6.595281675818589
ADANIGREEN,2024,CON,CON_09,Low interest coverage indicates a smaller buffer for servicing interest obligations.,88.0,interest_coverage,1.713943268078306
ADANIGREEN,2024,CON,CON_10,Negative free cash flow indicates cash outflow after capital expenditure.,86.0,free_cash_flow,-13347.0
ADANIGREEN,2024,CON,CON_11,The financial model identifies the company as highly leveraged.,94.0,high_leverage_flag,1.0
ADANIPORTS,2024,PRO,PRO_01,Strong return on equity indicates efficient use of shareholder capital.,82.4,return_on_equity,15.3548827162833
ADANIPORTS,2024,PRO,PRO_03,Strong ROCE indicates efficient deployment of capital.,82.2,return_on_capital,15.246263985603631
ADANIPORTS,2024,PRO,PRO_04,Positive return on assets indicates productive use of the asset base.,79.9,return_on_assets,6.926554927819896
ADANIPORTS,2024,PRO,PRO_05,Double-digit three-year revenue CAGR indicates strong business growth.,94.0,revenue_cagr_3yr,28.631936311849437
ADANIPORTS,2024,PRO,PRO_06,Double-digit ten-year revenue CAGR demonstrates sustained long-term growth.,98.0,revenue_cagr_10yr,18.65179197239284
ADANIPORTS,2024,PRO,PRO_07,Strong three-year profit CAGR indicates healthy earnings growth.,91.1,pat_cagr_3yr,17.084126579285687
ADANIPORTS,2024,PRO,PRO_08,Double-digit ten-year profit CAGR indicates sustained earnings expansion.,96.6,pat_cagr_10yr,16.624572854327614
ADANIPORTS,2024,PRO,PRO_10,Strong interest coverage provides a comfortable buffer for debt servicing.,84.0,interest_coverage,5.949506037321624
ADANIPORTS,2024,PRO,PRO_11,Positive free cash flow indicates cash generation after capital expenditure.,80.0,free_cash_flow,8250.0
ADANIPORTS,2024,CON,CON_FALLBACK,The available financial metrics should be monitored for potential weaknesses.,60.0,financial_metrics,
ADANIPOWER,2024,PRO,PRO_01,Strong return on equity indicates efficient use of shareholder capital.,92.0,return_on_equity,48.27674122146251
ADANIPOWER,2024,PRO,PRO_02,ROE above 25% indicates particularly strong profitability on equity.,96.0,return_on_equity,48.27674122146251
ADANIPOWER,2024,PRO,PRO_03,Strong ROCE indicates efficient deployment of capital.,90.4,return_on_capital,23.441056570774553
ADANIPOWER,2024,PRO,PRO_04,Positive return on assets indicates productive use of the asset base.,88.0,return_on_assets,22.638002804073516
ADANIPOWER,2024,PRO,PRO_05,Double-digit three-year revenue CAGR indicates strong business growth.,94.0,revenue_cagr_3yr,24.294797156226156
ADANIPOWER,2024,PRO,PRO_06,Double-digit ten-year revenue CAGR demonstrates sustained long-term growth.,92.6,revenue_cagr_10yr,12.629527157691523
ADANIPOWER,2024,PRO,PRO_07,Strong three-year profit CAGR indicates healthy earnings growth.,94.0,pat_cagr_3yr,154.07088459944453
ADANIPOWER,2024,PRO,PRO_10,Strong interest coverage provides a comfortable buffer for debt servicing.,84.0,interest_coverage,8.297225501770956
ADANIPOWER,2024,PRO,PRO_11,Positive free cash flow indicates cash generation after capital expenditure.,80.0,free_cash_flow,17651.0
ADANIPOWER,2024,PRO,PRO_12,High composite quality score indicates strong overall financial quality.,88.0,composite_quality_score,76.16
ADANIPOWER,2024,CON,CON_FALLBACK,The available financial metrics should be monitored for potential weaknesses.,60.0,financial_metrics,
AMBUJACEM,2024,PRO,PRO_03,Strong ROCE indicates efficient deployment of capital.,82.2,return_on_capital,15.182066184319773
AMBUJACEM,2024,PRO,PRO_04,Positive return on assets indicates productive use of the asset base.,80.3,return_on_assets,7.2600787606687
AMBUJACEM,2024,PRO,PRO_06,Double-digit ten-year revenue CAGR demonstrates sustained long-term growth.,92.8,revenue_cagr_10yr,12.786553484793739
AMBUJACEM,2024,PRO,PRO_08,Double-digit ten-year profit CAGR indicates sustained earnings expansion.,92.3,pat_cagr_10yr,12.286723339088713
AMBUJACEM,2024,PRO,PRO_09,Low debt-to-equity indicates a relatively conservative capital structure.,82.0,debt_to_equity,0.01686125048243921
AMBUJACEM,2024,PRO,PRO_10,Strong interest coverage provides a comfortable buffer for debt servicing.,84.0,interest_coverage,28.264492753623188
AMBUJACEM,2024,CON,CON_04,Low three-year revenue CAGR indicates subdued recent business growth.,82.0,revenue_cagr_3yr,4.611716860010384
AMBUJACEM,2024,CON,CON_10,Negative free cash flow indicates cash outflow after capital expenditure.,86.0,free_cash_flow,-3295.0
APOLLOHOSP,2024,PRO,PRO_03,Strong ROCE indicates efficient deployment of capital.,86.5,return_on_capital,19.51259271334257
APOLLOHOSP,2024,PRO,PRO_04,Positive return on assets indicates productive use of the asset base.,78.6,return_on_assets,5.5847568988173455
APOLLOHOSP,2024,PRO,PRO_05,Double-digit three-year revenue CAGR indicates strong business growth.,94.0,revenue_cagr_3yr,21.752736351876713
APOLLOHOSP,2024,PRO,PRO_06,Double-digit ten-year revenue CAGR demonstrates sustained long-term growth.,95.9,revenue_cagr_10yr,15.90208668517812
APOLLOHOSP,2024,PRO,PRO_07,Strong three-year profit CAGR indicates healthy earnings growth.,94.0,pat_cagr_3yr,89.6838465061924
APOLLOHOSP,2024,PRO,PRO_08,Double-digit ten-year profit CAGR indicates sustained earnings expansion.,91.5,pat_cagr_10yr,11.493642912195057
APOLLOHOSP,2024,PRO,PRO_10,Strong interest coverage provides a comfortable buffer for debt servicing.,84.0,interest_coverage,5.565701559020044
APOLLOHOSP,2024,PRO,PRO_11,Positive free cash flow indicates cash generation after capital expenditure.,80.0,free_cash_flow,383.0
APOLLOHOSP,2024,CON,CON_FALLBACK,The available financial metrics should be monitored for potential weaknesses.,60.0,financial_metrics,
ASIANPAINT,2024,PRO,PRO_01,Strong return on equity indicates efficient use of shareholder capital.,92.0,return_on_equity,29.677488252883382
ASIANPAINT,2024,PRO,PRO_02,ROE above 25% indicates particularly strong profitability on equity.,92.7,return_on_equity,29.677488252883382
ASIANPAINT,2024,PRO,PRO_03,Strong ROCE indicates efficient deployment of capital.,92.0,return_on_capital,35.774926893689276
ASIANPAINT,2024,PRO,PRO_04,Positive return on assets indicates productive use of the asset base.,88.0,return_on_assets,18.588007090063876
ASIANPAINT,2024,PRO,PRO_05,Double-digit three-year revenue CAGR indicates strong business growth.,91.8,revenue_cagr_3yr,17.801037676951047
ASIANPAINT,2024,PRO,PRO_06,Double-digit ten-year revenue CAGR demonstrates sustained long-term growth.,91.3,revenue_cagr_10yr,11.25245350301849
ASIANPAINT,2024,PRO,PRO_07,Strong three-year profit CAGR indicates healthy earnings growth.,94.0,pat_cagr_3yr,20.117567163333238
ASIANPAINT,2024,PRO,PRO_08,Double-digit ten-year profit CAGR indicates sustained earnings expansion.,96.0,pat_cagr_10yr,15.971565352132288
ASIANPAINT,2024,PRO,PRO_09,Low debt-to-equity indicates a relatively conservative capital structure.,82.0,debt_to_equity,0.1321016659547202
ASIANPAINT,2024,PRO,PRO_10,Strong interest coverage provides a comfortable buffer for debt servicing.,84.0,interest_coverage,41.00487804878049
ASIANPAINT,2024,PRO,PRO_11,Positive free cash flow indicates cash generation after capital expenditure.,80.0,free_cash_flow,3556.0
ASIANPAINT,2024,CON,CON_FALLBACK,The available financial metrics should be monitored for potential weaknesses.,60.0,financial_metrics,
ATGL,2024,PRO,PRO_01,Strong return on equity indicates efficient use of shareholder capital.,85.7,return_on_equity,18.65921787709497
ATGL,2024,PRO,PRO_03,Strong ROCE indicates efficient deployment of capital.,88.5,return_on_capital,21.491142690286157
ATGL,2024,PRO,PRO_04,Positive return on assets indicates productive use of the asset base.,83.1,return_on_assets,10.133495145631068
ATGL,2024,PRO,PRO_05,Double-digit three-year revenue CAGR indicates strong business growth.,94.0,revenue_cagr_3yr,38.18335427451367
ATGL,2024,PRO,PRO_07,Strong three-year profit CAGR indicates healthy earnings growth.,87.0,pat_cagr_3yr,12.99654305433795
ATGL,2024,PRO,PRO_09,Low debt-to-equity indicates a relatively conservative capital structure.,82.0,debt_to_equity,0.43491620111731844
ATGL,2024,PRO,PRO_10,Strong interest coverage provides a comfortable buffer for debt servicing.,84.0,interest_coverage,10.504504504504505
ATGL,2024,CON,CON_FALLBACK,The available financial metrics should be monitored for potential weaknesses.,60.0,financial_metrics,
AXISBANK,2024,PRO,PRO_01,Strong return on equity indicates efficient use of shareholder capital.,82.8,return_on_equity,15.832712405189048
AXISBANK,2024,PRO,PRO_05,Double-digit three-year revenue CAGR indicates strong business growth.,94.0,revenue_cagr_3yr,19.966046890428714
AXISBANK,2024,PRO,PRO_06,Double-digit ten-year revenue CAGR demonstrates sustained long-term growth.,93.6,revenue_cagr_10yr,13.568824505023214
AXISBANK,2024,PRO,PRO_07,Strong three-year profit CAGR indicates healthy earnings growth.,94.0,pat_cagr_3yr,55.68795030685318
AXISBANK,2024,PRO,PRO_08,Double-digit ten-year profit CAGR indicates sustained earnings expansion.,94.9,pat_cagr_10yr,14.864754204532193
AXISBANK,2024,CON,CON_02,Low ROCE indicates relatively weak efficiency in capital deployment.,80.0,return_on_capital,2.612569500628303
AXISBANK,2024,CON,CON_03,Low ROA suggests limited profitability relative to the asset base.,78.0,return_on_assets,1.6374892227113123
AXISBANK,2024,CON,CON_08,High debt-to-equity indicates elevated financial leverage.,86.0,debt_to_equity,8.249122739980766
AXISBANK,2024,CON,CON_09,Low interest coverage indicates a smaller buffer for servicing interest obligations.,88.0,interest_coverage,1.691203992514036
AXISBANK,2024,CON,CON_10,Negative free cash flow indicates cash outflow after capital expenditure.,86.0,free_cash_flow,-14556.0
BAJAJ-AUTO,2024,PRO,PRO_01,Strong return on equity indicates efficient use of shareholder capital.,92.0,return_on_equity,26.61418410330778
BAJAJ-AUTO,2024,PRO,PRO_02,ROE above 25% indicates particularly strong profitability on equity.,89.6,return_on_equity,26.61418410330778
BAJAJ-AUTO,2024,PRO,PRO_03,Strong ROCE indicates efficient deployment of capital.,92.0,return_on_capital,28.389583468290468
BAJAJ-AUTO,2024,PRO,PRO_04,Positive return on assets indicates productive use of the asset base.,88.0,return_on_assets,19.59129727531517
BAJAJ-AUTO,2024,PRO,PRO_05,Double-digit three-year revenue CAGR indicates strong business growth.,91.4,revenue_cagr_3yr,17.384652616671946
BAJAJ-AUTO,2024,PRO,PRO_07,Strong three-year profit CAGR indicates healthy earnings growth.,90.6,pat_cagr_3yr,16.642781522818396
BAJAJ-AUTO,2024,PRO,PRO_09,Low debt-to-equity indicates a relatively conservative capital structure.,82.0,debt_to_equity,0.06601754022512257
BAJAJ-AUTO,2024,PRO,PRO_10,Strong interest coverage provides a comfortable buffer for debt servicing.,84.0,interest_coverage,174.41666666666666
BAJAJ-AUTO,2024,PRO,PRO_11,Positive free cash flow indicates cash generation after capital expenditure.,80.0,free_cash_flow,6486.0
BAJAJ-AUTO,2024,CON,CON_FALLBACK,The available financial metrics should be monitored for potential weaknesses.,60.0,financial_metrics,
BAJAJFINSV,2024,PRO,PRO_01,Strong return on equity indicates efficient use of shareholder capital.,92.0,return_on_equity,25.850351412279537
BAJAJFINSV,2024,PRO,PRO_02,ROE above 25% indicates particularly strong profitability on equity.,88.9,return_on_equity,25.850351412279537
BAJAJFINSV,2024,PRO,PRO_05,Double-digit three-year revenue CAGR indicates strong business growth.,94.0,revenue_cagr_3yr,22.131490415528443
BAJAJFINSV,2024,PRO,PRO_06,Double-digit ten-year revenue CAGR demonstrates sustained long-term growth.,98.0,revenue_cagr_10yr,33.754542295740954
BAJAJFINSV,2024,PRO,PRO_07,Strong three-year profit CAGR indicates healthy earnings growth.,94.0,pat_cagr_3yr,28.399964328592418
BAJAJFINSV,2024,PRO,PRO_08,Double-digit ten-year profit CAGR indicates sustained earnings expansion.,98.0,pat_cagr_10yr,21.684230519873758
BAJAJFINSV,2024,CON,CON_03,Low ROA suggests limited profitability relative to the asset base.,78.0,return_on_assets,2.9018542467180857
BAJAJFINSV,2024,CON,CON_08,High debt-to-equity indicates elevated financial leverage.,86.0,debt_to_equity,4.789368120938867
BAJAJFINSV,2024,CON,CON_10,Negative free cash flow indicates cash outflow after capital expenditure.,86.0,free_cash_flow,-79634.0
BAJAJHLDNG,2024,PRO,PRO_04,Positive return on assets indicates productive use of the asset base.,84.3,return_on_assets,11.302773131167417
BAJAJHLDNG,2024,PRO,PRO_05,Double-digit three-year revenue CAGR indicates strong business growth.,94.0,revenue_cagr_3yr,55.00574158769729
BAJAJHLDNG,2024,PRO,PRO_06,Double-digit ten-year revenue CAGR demonstrates sustained long-term growth.,94.9,revenue_cagr_10yr,14.937545587928923
BAJAJHLDNG,2024,PRO,PRO_07,Strong three-year profit CAGR indicates healthy earnings growth.,94.0,pat_cagr_3yr,26.318822706492305
BAJAJHLDNG,2024,PRO,PRO_08,Double-digit ten-year profit CAGR indicates sustained earnings expansion.,94.0,pat_cagr_10yr,13.992331678744474
BAJAJHLDNG,2024,PRO,PRO_09,Low debt-to-equity indicates a relatively conservative capital structure.,82.0,debt_to_equity,0.0011613545449517945
BAJAJHLDNG,2024,PRO,PRO_10,Strong interest coverage provides a comfortable buffer for debt servicing.,84.0,interest_coverage,3764.5
BAJAJHLDNG,2024,PRO,PRO_11,Positive free cash flow indicates cash generation after capital expenditure.,80.0,free_cash_flow,1469.0
BAJAJHLDNG,2024,CON,CON_02,Low ROCE indicates relatively weak efficiency in capital deployment.,80.0,return_on_capital,2.8760817529000184
BAJFINANCE,2024,PRO,PRO_01,Strong return on equity indicates efficient use of shareholder capital.,85.8,return_on_equity,18.841921351830603
BAJFINANCE,2024,PRO,PRO_05,Double-digit three-year revenue CAGR indicates strong business growth.,94.0,revenue_cagr_3yr,27.259405758095312
BAJFINANCE,2024,PRO,PRO_07,Strong three-year profit CAGR indicates healthy earnings growth.,94.0,pat_cagr_3yr,48.41981202939976
BAJFINANCE,2024,PRO,PRO_10,Strong interest coverage provides a comfortable buffer for debt servicing.,84.0,interest_coverage,2689.1666666666665
BAJFINANCE,2024,CON,CON_02,Low ROCE indicates relatively weak efficiency in capital deployment.,80.0,return_on_capital,4.350587230638684
BAJFINANCE,2024,CON,CON_08,High debt-to-equity indicates elevated financial leverage.,86.0,debt_to_equity,3.824788776468134
BAJFINANCE,2024,CON,CON_10,Negative free cash flow indicates cash outflow after capital expenditure.,86.0,free_cash_flow,-79931.0
BANKBARODA,2024,PRO,PRO_01,Strong return on equity indicates efficient use of shareholder capital.,82.8,return_on_equity,15.761863790899902
BANKBARODA,2024,PRO,PRO_05,Double-digit three-year revenue CAGR indicates strong business growth.,90.8,revenue_cagr_3yr,16.788839489625307
BANKBARODA,2024,PRO,PRO_06,Double-digit ten-year revenue CAGR demonstrates sustained long-term growth.,91.3,revenue_cagr_10yr,11.33242243391459
BANKBARODA,2024,PRO,PRO_07,Strong three-year profit CAGR indicates healthy earnings growth.,94.0,pat_cagr_3yr,126.679000994827
BANKBARODA,2024,PRO,PRO_08,Double-digit ten-year profit CAGR indicates sustained earnings expansion.,94.1,pat_cagr_10yr,14.121196486586761
BANKBARODA,2024,CON,CON_02,Low ROCE indicates relatively weak efficiency in capital deployment.,80.0,return_on_capital,2.8204469854601983
BANKBARODA,2024,CON,CON_03,Low ROA suggests limited profitability relative to the asset base.,78.0,return_on_assets,1.1402758683204666
BANKBARODA,2024,CON,CON_08,High debt-to-equity indicates elevated financial leverage.,86.0,debt_to_equity,12.143718727289434
BANKBARODA,2024,CON,CON_09,Low interest coverage indicates a smaller buffer for servicing interest obligations.,88.0,interest_coverage,1.8967477242617206
BANKBARODA,2024,CON,CON_10,Negative free cash flow indicates cash outflow after capital expenditure.,86.0,free_cash_flow,-7559.0
